sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Tableau avec vernis antibactérien : quelle hygiène dans une infirmerie scolaire ?,2025-10-18T14:31:05.546764,succès
Quels traitements anti-graffiti pour un tableau dans une zone de passage de collège ?,2025-10-20T22:02:31.049390,succès
Peinture avec composition transparente certifiée : obligation légale en établissement scolaire ?,2025-10-23T22:02:59.936658,succès
Quel type de toile renforcée pour un tableau dans une cantine d'école bruyante ?,2025-10-27T22:03:22.457860,succès
Tableau avec thématique géographique : quel style pour une classe de CM2 ?,2025-10-30T22:03:07.234947,succès
Comment vérifier la résistance aux chocs d'un tableau selon la norme EN 12600 pour école ?,2025-11-03T22:02:48.513012,succès
Tableau avec impression éducative (planètes,2025-11-06T22:02:36.613858,succès
Quels systèmes de fixation par rail pour changer facilement les tableaux thématiques ?,2025-11-10T22:02:48.670227,succès
Peinture mate anti-reflet : quelle importance face à un tableau blanc interactif en classe ?,2025-11-13T22:03:25.846933,succès
Quel type d'encadrement en aluminium pour un tableau dans un lycée moderne ?,2025-11-17T22:03:17.599060,succès
Tableau avec palette apaisante : quelles couleurs pour une salle de concentration au collège ?,2025-11-20T22:02:53.354450,succès
Comment choisir un tableau résistant à l'humidité pour un vestiaire de piscine scolaire ?,2025-11-24T22:03:06.787713,succès
